kind	route	purpose	environment	command_from_project_root	status
VALIDATE	project	read-only validation	graspnet2.0	/home/lin/miniconda3/envs/graspnet2.0/bin/python tools_validate.py	ACTIVE
TRAIN	A	force-adjusted Wuji2 training	graspnet2.0	python 04_training/scripts/train_wuji2_scratch.py	VERIFIED_COMPLETE
INFER	A	single-view native Wuji2 prediction	graspnet2.0	python 05_inference/01_predict_single_view.py	ACTIVE
CASE_BUILD	A	select/build native Wuji2 3P+3R case	graspnet2.0	python 07_wuji2_network_3p3r_sim/02_scripts/04_build_selected_sim_3p3r.py	ACTIVE
CASE_BUILD	B	build/rebuild LEAP-to-Wuji2 case	system python3	/usr/bin/python3 06_leap_to_wuji2_final_pipeline/run_new_test_case.py --rebuild	ACTIVE
VISUALIZE	B	four-hand retargeting comparison	wuji_retargeting	01_environment/conda/wuji_retargeting/bin/python 06_leap_to_wuji2_final_pipeline/02_scripts/04_visualize_final.py --show	ACTIVE
SIM	C	full 24.85 s dog pick-place	wuji2_factory	./08_dual_arm_scene_layout/isaaclab_control/launch_full_pick_place_25s_visible.sh	VERIFIED
REPLAY	C	stable real-time physical replay	wuji2_factory	./08_dual_arm_scene_layout/isaaclab_control/launch_replay_25s_visible.sh	VERIFIED
DEMO	C	interactive cached-perception report demo	wuji2_factory	./08_dual_arm_scene_layout/isaaclab_control/report_demo/launch_interactive_demo.sh	VERIFIED_WITH_CACHED_PERCEPTION
REJECTED	C	automatic MP4 export	wuji2_factory	./08_dual_arm_scene_layout/isaaclab_control/export_replay_mp4.sh	DO_NOT_RUN
