current_path	route	case_id	target	status_from_metadata	real_physics_pass	unique_algorithm_or_diagnostic_value	regenerable_from_existing_code	formal_representative	recommendation	authoritative_metadata	reason
07_wuji2_network_3p3r_sim/01_cases/selected_native_case	A	scene0000_view0001_object014_source0462	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	native_wuji2_3p3r_execution_complete	true	true	true	true	KEEP_VERIFIED	07_wuji2_network_3p3r_sim/01_cases/selected_native_case/05_isaacsim/final_result.json	Source for the route-local frozen Ashtray baseline; case.json status is stale but final_result is authoritative
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate121	B	live_dynamic_scene0000_ashtray_candidate121	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	manual_gui_ab_branch_complete	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate121/06_isaacsim/final_result.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate163	B	live_dynamic_scene0000_ashtray_candidate163	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate163/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate226	B	live_dynamic_scene0000_ashtray_candidate226	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	manual_gui_ab_branch_complete	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate226/06_isaacsim/final_result.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate23	B	live_dynamic_scene0000_ashtray_candidate23	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate23/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate285	B	live_dynamic_scene0000_ashtray_candidate285	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate285/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate288	B	live_dynamic_scene0000_ashtray_candidate288	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate288/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate311	B	live_dynamic_scene0000_ashtray_candidate311	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate311/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate331	B	live_dynamic_scene0000_ashtray_candidate331	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate331/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate39	B	live_dynamic_scene0000_ashtray_candidate39	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate39/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate423	B	live_dynamic_scene0000_ashtray_candidate423	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate423/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate428	B	live_dynamic_scene0000_ashtray_candidate428	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate428/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate458	B	live_dynamic_scene0000_ashtray_candidate458	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	manual_gui_ab_branch_complete	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate458/06_isaacsim/final_result.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate474	B	live_dynamic_scene0000_ashtray_candidate474	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate474/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate52	B	live_dynamic_scene0000_ashtray_candidate52	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	manual_gui_ab_branch_complete	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate52/06_isaacsim/final_result.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate59	B	live_dynamic_scene0000_ashtray_candidate59	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate59/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate657	B	live_dynamic_scene0000_ashtray_candidate657	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate657/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate670	B	live_dynamic_scene0000_ashtray_candidate670	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate670/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate692	B	live_dynamic_scene0000_ashtray_candidate692	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate692/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate704	B	live_dynamic_scene0000_ashtray_candidate704	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate704/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate713	B	live_dynamic_scene0000_ashtray_candidate713	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate713/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate734	B	live_dynamic_scene0000_ashtray_candidate734	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate734/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate736	B	live_dynamic_scene0000_ashtray_candidate736	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate736/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate747	B	live_dynamic_scene0000_ashtray_candidate747	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate747/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate768	B	live_dynamic_scene0000_ashtray_candidate768	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate768/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate779	B	live_dynamic_scene0000_ashtray_candidate779	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate779/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate780	B	live_dynamic_scene0000_ashtray_candidate780	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate780/case.json	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate98	B	live_dynamic_scene0000_ashtray_candidate98	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	false	true	false	ARCHIVE_CANDIDATE	06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate98/case.json	Regenerable from official dataset/cache and run_new_test_case.py
