path	size_bytes	category	recommendation	reason
01_environment/conda/wuji_retargeting/lib/python3.11/__phello__/__pycache__	1103	REGENERABLE_CACHE	DELETE_CANDIDATE	Python bytecode cache; no deletion in Phase 0-2
01_environment/conda/wuji_retargeting/lib/python3.11/__pycache__	6069819	REGENERABLE_CACHE	DELETE_CANDIDATE	Python bytecode cache; no deletion in Phase 0-2
01_environment/conda/wuji_retargeting/lib/python3.11/asyncio/__pycache__	676260	REGENERABLE_CACHE	DELETE_CANDIDATE	Python bytecode cache; no deletion in Phase 0-2
01_environment/conda/wuji_retargeting/lib/python3.11/collections/__pycache__	78758	REGENERABLE_CACHE	DELETE_CANDIDATE	Python bytecode cache; no deletion in Phase 0-2
01_environment/conda/wuji_retargeting/lib/python3.11/concurrent/__pycache__	405	REGENERABLE_CACHE	DELETE_CANDIDATE	Python bytecode cache; no deletion in Phase 0-2
01_environment/conda/wuji_retargeting/lib/python3.11/concurrent/futures/__pycache__	88625	REGENERABLE_CACHE	DELETE_CANDIDATE	Python bytecode cache; no deletion in Phase 0-2
01_environment/conda/wuji_retargeting/lib/python3.11/config-3.11-x86_64-linux-gnu/__pycache__	4081	REGENERABLE_CACHE	DELETE_CANDIDATE	Python bytecode cache; no deletion in Phase 0-2
01_environment/conda/wuji_retargeting/lib/python3.11/ctypes/__pycache__	73383	REGENERABLE_CACHE	DELETE_CANDIDATE	Python bytecode cache; no deletion in Phase 0-2
01_environment/conda/wuji_retargeting/lib/python3.11/ctypes/macholib/__pycache__	12013	REGENERABLE_CACHE	DELETE_CANDIDATE	Python bytecode cache; no deletion in Phase 0-2
01_environment/conda/wuji_retargeting/lib/python3.11/curses/__pycache__	30365	REGENERABLE_CACHE	DELETE_CANDIDATE	Python bytecode cache; no deletion in Phase 0-2
01_environment/conda/wuji_retargeting/lib/python3.11/dbm/__pycache__	22994	REGENERABLE_CACHE	DELETE_CANDIDATE	Python bytecode cache; no deletion in Phase 0-2
01_environment/conda/wuji_retargeting/lib/python3.11/distutils/__pycache__	424099	REGENERABLE_CACHE	DELETE_CANDIDATE	Python bytecode cache; no deletion in Phase 0-2
01_environment/conda/wuji_retargeting/lib/python3.11/distutils/command/__pycache__	232776	REGENERABLE_CACHE	DELETE_CANDIDATE	Python bytecode cache; no deletion in Phase 0-2
01_environment/conda/wuji_retargeting/lib/python3.11/distutils/tests/__pycache__	411743	REGENERABLE_CACHE	DELETE_CANDIDATE	Python bytecode cache; no deletion in Phase 0-2
01_environment/conda/wuji_retargeting/lib/python3.11/email/__pycache__	473264	REGENERABLE_CACHE	DELETE_CANDIDATE	Python bytecode cache; no deletion in Phase 0-2
01_environment/conda/wuji_retargeting/lib/python3.11/email/mime/__pycache__	21167	REGENERABLE_CACHE	DELETE_CANDIDATE	Python bytecode cache; no deletion in Phase 0-2
