current_path	case_id	target	status	physical_pass	regenerable_by_run_new_test_case	unique_failure_reason	required_by_route_c	future_retention_granularity	recommendation	reason
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate121	live_dynamic_scene0000_ashtray_candidate121	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	manual_gui_ab_branch_complete	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate163	live_dynamic_scene0000_ashtray_candidate163	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate226	live_dynamic_scene0000_ashtray_candidate226	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	manual_gui_ab_branch_complete	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate23	live_dynamic_scene0000_ashtray_candidate23	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate285	live_dynamic_scene0000_ashtray_candidate285	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate288	live_dynamic_scene0000_ashtray_candidate288	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate311	live_dynamic_scene0000_ashtray_candidate311	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate331	live_dynamic_scene0000_ashtray_candidate331	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate39	live_dynamic_scene0000_ashtray_candidate39	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate423	live_dynamic_scene0000_ashtray_candidate423	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate428	live_dynamic_scene0000_ashtray_candidate428	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate458	live_dynamic_scene0000_ashtray_candidate458	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	manual_gui_ab_branch_complete	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate474	live_dynamic_scene0000_ashtray_candidate474	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate52	live_dynamic_scene0000_ashtray_candidate52	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	manual_gui_ab_branch_complete	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate59	live_dynamic_scene0000_ashtray_candidate59	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate657	live_dynamic_scene0000_ashtray_candidate657	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate670	live_dynamic_scene0000_ashtray_candidate670	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate692	live_dynamic_scene0000_ashtray_candidate692	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate704	live_dynamic_scene0000_ashtray_candidate704	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate713	live_dynamic_scene0000_ashtray_candidate713	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
06_leap_to_wuji2_final_pipeline/01_cases/live_dynamic_scene0000_ashtray_candidate734	live_dynamic_scene0000_ashtray_candidate734	sem-Ashtray-2b210ae3bfa1abe43da807e9c1c58ac0	UNKNOWN	false	true	false	false	METADATA_SUMMARY_RESULT_ONLY_CANDIDATE	ARCHIVE_CANDIDATE	Regenerable from official dataset/cache and run_new_test_case.py
